country,type,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ASEAN (Ember),Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45,54.33,53.29,53.21,52.99,53.88,60.52,63.25,69.94,73.68,80.07,99.6,115.25,127.15,130.79,122.53,144.38,181.12,188.73,162.53,178.56,191.56,216.76
ASEAN (Ember),Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,22.86,23.23,23.189999,24.97,25.3,25.66,27.49,29.580002,30.5,32.99,34.87,36.46,37.06,38.800003,41.07,43.75,47.61,52.93,53.59,55.07,59.07,67.21
ASEAN (Ember),Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.07,0.1,0.53,1.44,2.22,2.86,5.16,6.33,6.88,13.61,20.12,35.88,37.21
ASEAN (Ember),Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.06,0.07,0.1,0.13,0.14,0.49,0.62,1.26,1.57,2.55,3.47,5.91,5.79,7.63,13.09
Afghanistan,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.5,0.56,0.63,0.56,0.59,0.64,0.75,0.54,0.78,0.75,0.6,0.71,0.86,0.97,1.0,1.02,1.05,0.93,0.84,0.62,0.62,0.62
Afghanistan,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.08,0.08
Afghanistan,Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Hydro,13.905635,15.510005,16.190636,18.938341,22.100891,27.630428,26.01339,29.633196,31.345707,35.667076,37.717968,41.797634,45.92877,46.306942,49.56523,48.311787,50.192905,50.206238,45.24716,44.489975,49.449684,51.14537,49.05646,53.593452,56.27621,57.254658,60.65149,57.86029,56.682507,57.59605,59.76888,62.31646,63.852497,66.654884,70.68426,74.85,80.3,84.6,82.01,86.54,89.49,92.62,95.55,96.94,100.65,109.27,112.1,114.57,118.22,124.299995,122.39,120.82,126.4,135.68,140.22,148.89,150.8,151.62
Africa,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.165,0.17,0.175,0.172,0.185,0.189,0.195,0.201,0.207,0.218,0.236,0.23,0.234,0.269,0.659,0.658,0.626,0.617,0.80574995,0.8217477,0.85394657,0.94937193,0.84669536,1.028464,1.2678368,1.3963903,1.724236,1.7097834,2.47,2.58,2.9699998,3.32,3.6899998,3.66,4.48,3.9099998,4.21,4.28,4.4700003,4.23,4.48,4.96,6.16,7.62,8.13,8.3,8.530001,8.69,7.8999996,7.8999996,8.32
