Mineral,Reserves (tonnes)
Iron (for Steel),170 billion
Copper,870 million
Bauxite (for Aluminium),30 billion
Zinc,250 million
Rare Earths,120 million
Nickel,94 million
Manganese,1.5 billion
Lead,89 million
Titanium (Ilmenite),870 million
Silicon (Silica),Virtually unlimited
Silver,"560,000"
Indium,"15,000"
Tellurium,"24,000"
Selenium,"120,000"
