Scenario,Solar (%),Onshore Wind (%),Offshore Wind (%),Hydropower (%),Bioenergy (%),Marine Energy (%),Other Renewables (%),Nuclear (%)
M0 - 100% Renewables,40,20,18,10,2,1,9,0
M1 - Distributed Renewables,35,22,18,10,2,1,9,13
M23 - Centralized Renewables,32,24,18,10,2,1,9,13
N1 - Low Nuclear,25,20,15,10,2,1,6,26
N2 - High Nuclear,18,17,13,10,2,1,3,36
N03 - Balanced Mix,15,15,10,10,2,1,2,50
