country,type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,Bulk,,,,,,,,33404018.0,31033850.0,25650676.0,28123181.0,30036717.0,25791563.0,24253018.0,34210844.0,28168352.0,20295701.0,41302995.0,36851000.0,3943999.0,3726980.0,2488250.0,
Argentina,Copper,,,,191600.0,203700.0,,,187363.888,180106.41,180227.368,156882.481,143093.273,140311.24,116724.437,135714.837,109587.917,102572.355,61809.52,81888.543,33300.0,17400.0,,
Argentina,Gold,,,,432457.544,648673.537,972979.405,972979.467,5485999.237,973015.499,972998.493,972993.512,4267173.634,9927131.799,8662084.814,11558729.878,6492017.687,39586877.242,39412223.695,39551068.787,32241401.01,34318967.545,4.469,
Argentina,Lead,,,,,,,,,,,,,,,,,,,,,1409.311,10866.712,
Argentina,Silver,,,,,,,,59.245,76.774,77.788,76.97800000000001,211.987,156.79999999999998,333.055,400.197,386.852,521.3199999999999,709.467,508.925,461.344,502.31,512.943,
Argentina,Zinc,,,,,,,,,,,,,,4591.262,5067.08,12263.777,13612.307,4287.355,,,3980.273,3806.547,
Australia,Bauxite,,,,11326000.0,11241000.0,11898000.0,12649000.0,15474000.0,16139000.0,18209000.0,26251000.0,23420000.0,25781000.0,27978000.0,63001000.0,65770000.0,64194000.0,66860000.0,70918000.0,75299000.0,76477000.0,34700000.0,
Australia,Bulk,,,1618000.0,1861000.0,2240000.0,2393000.0,3061378.0,128081292.0,120363492.0,126135038.0,14009131.0,23583191.0,21303027.0,27258923.0,132081997.0,136551925.0,89396691.0,48961814.0,70366741.0,63842607.0,61638082.0,16697816.0,2711432.0
Australia,Cobalt,,,,,,,,,,,,,1900.0,1900.0,2700.0,2700.0,2700.0,2800.0,2800.0,2700.0,2900.0,3400.0,
Australia,Copper,,,30257.0,81210.0,15723488.0,15282705.0,16699976.0,17486752.0,22877856.0,23527194.0,21747826.0,18114267.962,19314137.076,20217703.874,4044300.052,4754605.096,4110651.874,2393064.7970000003,4195659.612,3551544.39,3772234.678,3242544.818,1712270.421
Australia,Diamonds,,,,5.23,6.726999999999999,6.194,4.124,6.095,5.816,3.749,3.015,2.118,1.961,1.488,1.694,2.272,1.838,2.694,2.792,3.427,2.814,,
Australia,Gold,9.949,18.81,65.381,12800852.151,26687162.623,25120127.9,22373085.719,23282829.18,6504354.966,22620639.318,23050237.131,25767413.212,71080595.866,72290390.331,62488244.27,71011148.256,93777091.044,95152678.772,101773875.44,100481114.668,97704024.168,80647081.721,38822493.119
Australia,Ilminite,,,360000.0,1544900.0,1499800.0,1485247.0,1483493.0,1726809.0,1885563.0,1842959.0,1336100.0,1069800.0,701600.0,825500.0,459400.0,394900.0,270600.0,321000.0,326200.0,390500.0,340600.0,259400.0,
Australia,Iron,,,64968589.0,169353177.0,176367412.0,195084059.0,216001647.0,252284118.0,260602294.0,275859941.0,310907941.0,368020000.0,410560352.0,432067412.0,499933272.0,573094177.0,685141676.0,766286130.0,786184235.0,810380293.0,812782529.0,488556001.0,220813000.0
Australia,Lead,,,200480.0,210872.0,427704.0,410128.0,439426.0,498063.0,458097.0,412112.0,494704.0,443187.0,450007.0,444221.0,518275.0,543466.0,535563.0,543675.0,394415.0,346955.0,350224.76,346516.102,3326.874
Australia,Leucoxene,,,,12550.0,11320.0,13702.0,30239.0,24490.0,23537.0,23353.0,16400.0,14300.0,,,,,,,,,,,
Australia,Lithium,,,,,,,,,,,,,,655572.542,460483.949,0.0,0.0,0.0,,2275745.669,5896841.773,2288584.382,31000.0
Australia,Nickel,,,,,43600.0,49400.0,43700.0,38100.0,,,270600.0,701000.0,576700.0,1475600.0,2924674.0,3197103.0,3200845.0,2398167.0,2568924.0,2262937.0,201183.2,191709.6,
Australia,Nickel Concentrate,,,,,11000000.0,11200000.0,11200000.0,,,,,,,,,,,,,,,,
Australia,Oxide,,,,,,,,,,,,,,,2061000.0,3559.0,,,,,,,
Australia,Rutile,,,28000.0,116062.0,120260.0,103713.0,118109.0,177842.0,198133.0,318970.0,166100.0,159100.0,254600.0,319300.0,220300.0,127000.0,177200.0,136500.0,108800.0,134500.0,41700.0,46800.0,
Australia,Silver,,,840.96,900.664,1349.22,1267.7430000000002,1704.95,422131.823,2758208.754,2535272.812,2707378.393,503087.931,594553.052,676461.386,719492.368,719342.72,720602.294,697513.975,200269.2,989.722,869.748,788.81,10.993
Australia,Sulphide,,,,,,,,,,,,,,,28000.0,,,,,,,,
Australia,Tentalum,,,,,,,,,,,,,,15.312,,,,,,,,,
Australia,Tin,,,,,,,,,153241.0,253447.0,233635.0,506895.0,600479.857,484168.0,540394.0,606672.0,641292.0,652006.0,690638.0,759524.0,809088.0,805104.0,856090.0
Australia,Triuranium,,,,4211.0,4486.0,5134.0,5143.0,5903.0,8640.0,8798.927,9484.143,9223.312,6186.245,6571.963,7651.630999999999,7061.6900000000005,5153.279,5149.332,6713.516,5954.362999999999,6616.582,5097.6,
Australia,Zinc,,,61754.0,76122.0,4953096.0,5046040.0,5177181.0,6632578.0,6894883.0,7522618.0,8921140.0,10128403.0,11986623.0,12093850.0,1338246.0,1302971.0,1344759.0,1402628.0,624519.0,618041.0,826455.26,690879.768,10057.356
Australia,Zircon,,,74000.0,315800.0,337376.0,381131.0,370792.0,389474.0,434628.0,436358.0,338700.0,281500.0,391300.0,605300.0,293800.0,245500.0,332500.0,351300.0,347000.0,293700.0,327900.0,313700.0,
Bolivia,Bulk,,,,,,,49122.0,18380.0,53851.0,87216.0,98517.0,175796.0,285772.0,297895.0,322105.0,335789.0,332632.0,348421.0,356842.0,345263.0,350526.0,368105.0,
Bolivia,Copper,,,,,,,96.364,18.182,94.545,104.211,160.0,422.105,538.947,631.579,,,,,578.947,663.158,1073.684,894.737,
Bolivia,Gold,,,,,,,,,,,,,,,,,,,,0.015,0.015,0.014,
Bolivia,Lead,,,,,,,,,,,,,,,421.053,589.474,536.842,884.211,621.053,494.737,821.053,442.105,
Bolivia,Silver,,,,,,,16.107,4.167,13.613,18.437,458709.048,1378027.629,1365416.211,1422131.53,1340458.826,1524236.292,1587360.241,1554381.522,1512395.827,1369835.371,105.574,105.097,
Bolivia,Zinc,,,,,,,2385.455,607.273,1463.636,1790.526,2093.684,2950.526,4906.316,5052.632,5157.895,6526.316,6147.368,7178.947,5357.895,4589.474,7863.158,6326.316,
Bosnia and Herzegovina,Iron,,,,,,,,,,,,,,3792500.0,4196000.0,4107500.0,4207500.0,3907500.0,3335000.0,3080000.0,2670000.0,2670000.0,
Brazil,Bauxite,,,,,,,,,,1900000.0,22463000.0,21845000.0,25535000.0,27224000.0,29312000.0,28029000.0,31176000.0,31262000.0,32962000.0,31998000.0,25434000.0,13700000.0,
Brazil,Bulk,,,,,,,,,877197.0,18651162.0,14521140.0,16998887.0,21482527.0,21482527.0,22084779.0,21833258.0,18828710.0,19959943.0,17223764.0,34163445.0,34326918.0,468732.0,
Brazil,Copper,,,,,,,73000.0,107000.0,119041.166,173746.502,189185.417,182317.301,184766.7,184341.693,191311.011,243057.727,34017554.581,57471420.6,70287389.919,74303742.309,66976491.134,60464810.0,
Brazil,Gold,,,0.687,1800017.254,1800017.928,20732387.933,19027024.127,19310840.849,24081754.806,32120400.002,32854102.815,47165981.561,51130195.415,50714908.221,61776685.906,61847326.201,59030400.002,53331260.227,53285579.603,34177619.72,54103464.687,2298648.929,
Brazil,Iron,,,211038000.0,138060000.0,195116000.0,223186000.0,248651000.0,269884000.0,295088000.0,334777000.0,336988000.0,280144000.0,332225000.0,362066600.0,355668700.0,346014000.0,382193475.0,411463040.0,406808385.0,396071480.0,415209430.0,262168795.0,
Brazil,Manganese,,,1700000.0,1700000.0,2184000.0,2062000.0,2577000.0,2925000.0,2254000.0,1322000.0,2349000.0,1651000.0,1834000.0,2467000.0,2390000.0,2361000.0,2396000.0,2441000.0,2349000.0,2192000.0,1798000.0,1614000.0,
