country,type,quantity
Mexico,Iron,132707000.0
Mexico,Lead,1313261.05
Mexico,Molybdenum,153340.0
Mexico,Oxide,1778139900.0
Mexico,Silver,28910.139
Mexico,Sulphide,244298200.0
Mexico,Zinc,3216202.849
Mongolia,Copper,868400.0
Mongolia,Gold,55.049
Mongolia,Silver,153.766
Namibia,Gold,19600029.682
Namibia,Triuranium,50076.984000000004
Namibia,Zinc,22617235.792
New Caledonia,Nickel,20563911.0
New Zealand,Gold,117630207.66
New Zealand,Silver,1.079
Papua New Guinea,Bulk,73200000.0
Papua New Guinea,Copper,342452776.0
Papua New Guinea,Gold,212864342.137
Papua New Guinea,Silver,509.992
Peru,Bulk,2279966029.0
Peru,Copper,510522053.688
Peru,Gold,843443577.384
Peru,IronS,668301.0
Peru,Lead,1839076.78
Peru,Molybdenum,335234.544
Peru,Oxide,971108008.0
Peru,Phosphate,10090000.0
Peru,Silver,28765.188000000002
Peru,Zinc,10126629.645
Philippines,Bulk,1188703.0
Philippines,Copper,135969.0
Philippines,Gold,27880838.612
Philippines,Nickel,189922622.0
Philippines,Silver,51.85
Poland,Copper,1398900.0
Portugal,Bulk,2329387.0
Portugal,Copper,35763248.0
Portugal,Lead,29187.0
Portugal,Silver,447.36199999999997
Portugal,Tin,1749.0
Portugal,Zinc,9616043.0
Russian Federation,Bauxite,64570000.0
Russian Federation,Bulk,359486730.0
Russian Federation,Copper,5345892.238
Russian Federation,Gold,16115208.012
Russian Federation,Iron,1144465345.667
Russian Federation,Lead,7450.0
Russian Federation,Nepheline,44880000.0
Russian Federation,Nickel,31764979.724
Russian Federation,PGM,1524.854
Russian Federation,Silver,1839.2440000000001
Russian Federation,Zinc,318652.0
Saudi Arabia,Bauxite,19521911.0
Saudi Arabia,Copper,52616.715
Sierra Leone,Ilminite,171300.0
Sierra Leone,Rutile,426300.0
Sierra Leone,Zircon,22900.0
South Africa,Antimony,12338.593
South Africa,Bulk,105595618.0
South Africa,Chromium,12512000.0
South Africa,Cobalt,9905.0
South Africa,Copper,918382.0
South Africa,Fluorspar,3386145.0
South Africa,Gold,323794725.724
South Africa,Ilminite,5161700.0
South Africa,Iridium,6.623
South Africa,Iron,526550500.0
South Africa,Lead,741291.875
South Africa,Manganese,44683000.0
South Africa,Nickel,207542.0
South Africa,PGM,261.259
South Africa,Palladium,128.484
South Africa,Phosphate,139004000.0
South Africa,Platinum,244.6
South Africa,Rhodium,20.064
South Africa,Ruthenium,27.849
South Africa,Rutile,424000.0
South Africa,Triuranium,31.0
South Africa,Zinc,642549.372
South Africa,Zircon,1347500.0
Spain,Bulk,13775608.0
Spain,Copper,9480909.911
Spain,Nickel,66685.966
Suriname,Bauxite,10000000.0
Suriname,Gold,46406049.401999995
Sweden,Bulk,69346464.0
Sweden,Copper,502541265.0
Sweden,Gold,80.66499999999999
Sweden,Lead,1137792.0
Sweden,Silver,6286.287
Sweden,Tellurium,213.465
Sweden,Zinc,14584580.0
Tajikistan,Gold,20.241
Tanzania,Copper,44408.962
Tanzania,Gold,180964513.869
Turkey,Bulk,7141000.0
Turkey,Copper,146923.0
Turkey,Zinc,114602.0
Ukraine,Iron,397018606.0
United States of America,Bulk,404518857.0
United States of America,Copper,2069617843.49
United States of America,Gold,1878554114.53
United States of America,Ilminite,2688642.0
United States of America,Iron,401630000.0
United States of America,Lead,2004661.802
United States of America,Leucoxene,81459.0
United States of America,Molybdenum,499833.884
United States of America,Nickel,108729.0
United States of America,PGM,30.139
United States of America,Phosphate,2194000.0
United States of America,Rutile,61758.0
United States of America,Silver,1008630.962
United States of America,Zinc,10058305.559
United States of America,Zircon,766058.0
Venezuela,Nickel,10519200.0
Zambia,Bulk,78163000.0
Zambia,Cobalt,1500.0
Zambia,Copper,209883957.204
Zambia,Gold,40.687
Zambia,Oxide,65959000.0
Zambia,Sulphide,105750000.0
Zimbabwe,Diamonds,0.575
Zimbabwe,Gold,0.255
Zimbabwe,PGM,30.696
Zimbabwe,Palladium,4.351
Zimbabwe,Phosphate,6586000.0
Zimbabwe,Platinum,9.377
